id_transaccion,fecha_venta,producto,cantidad,precio_unitario,cliente_id,provincia,metodo_pago,vendedor,costo_envio
TRX-11319,2023-01-23,Vino Malbec,15,7027.39,CLI-1102,Catamarca,Efectivo,Ana García,283.94
TRX-10954,2023-04-02,Vino Malbec,1,11828.03,CLI-543,La Rioja,Transferencia,Soporte Ventas,1039.02
TRX-10409,2023-07-29,Espumante,12,1695.76,CLI-727,San Juan,,Ana García,646.77
TRX-10179,2023-12-22,Vino Rosado,10,8501.12,CLI-1071,San Juan,Tarjeta de Crédito,Ana García,594.35
TRX-10589,2023-10-14,Syrah,23,1513.78,CLI-559,Catamarca,Efectivo,Marta Gómez,794.49
TRX-11224,2023-10-07,,15,2449.39,CLI-1287,Catamarca,Efectivo,Ana García,940.66
TRX-11287,2023-11-02,Vino Blend,7,1566.09,CLI-1039,Mendoza,Transferencia,Juan Pérez,238.79
TRX-12435,2023-03-08,Espumante,12,8065.93,CLI-1046,Mendoza,Transferencia,Marta Gómez,530.19
TRX-12467,2023-04-21,Syrah,22,10657.96,CLI-1426,Salta,Efectivo,Juan Pérez,556.64
TRX-10065,2024-01-07,Cabernet Sauvignon,23,2982.95,CLI-567,La Rioja,Efectivo,Marta Gómez,238.16
TRX-11897,2023-03-18,Bonarda,6,6761.15,CLI-1057,Catamarca,Transferencia,Ana García,1221.29
TRX-12200,2024-02-29,Syrah,15,,CLI-882,Neuquén,Efectivo,Marta Gómez,1407.79
TRX-11513,2023-03-14,Vino Chardonnay,1,,CLI-1314,Catamarca,Efectivo,Ana García,1472.18
TRX-10710,2023-07-13,Vino Malbec,8,6520.01,CLI-692,San Juan,Transferencia,Luis Rodriguez,511.81
TRX-12180,2024-03-03,Vino Rosado,16,10931.06,CLI-875,Mendoza,Transferencia,Marta Gómez,1359.55
TRX-10707,2024-02-18,Syrah,8,6451.56,CLI-606,Mendoza,Transferencia,Marta Gómez,684.02
TRX-11109,2023-07-13,Cabernet Sauvignon,21,4148.63,CLI-1492,La Rioja,App Mobile,Ana García,379.07
TRX-10893,2023-12-04,Cabernet Sauvignon,19,2740.15,CLI-1064,Mendoza,,Juan Pérez,1262.14
TRX-11850,2024-02-06,Cabernet Sauvignon,1,11389.79,CLI-718,San Juan,Transferencia,Soporte Ventas,889.19
TRX-12194,2023-10-08,Vino Blend,16,7063.12,CLI-1220,La Rioja,,Juan Pérez,240.76
TRX-11978,2023-08-16,Vino Malbec,20,2274.96,CLI-1326,San Juan,Efectivo,Luis Rodriguez,914.95
TRX-10853,2023-02-03,Espumante,24,4183.21,CLI-941,Catamarca,Transferencia,Ana García,520.4
TRX-10227,2023-07-22,Vino Chardonnay,8,6596.73,CLI-1496,La Rioja,Tarjeta de Crédito,Soporte Ventas,1382.45
TRX-12242,2023-02-12,Syrah,7,9439.72,CLI-1368,Neuquén,App Mobile,Marta Gómez,329.27
TRX-11118,2024-02-21,Cabernet Sauvignon,12,9529.66,CLI-570,La Rioja,Transferencia,Ana García,212.34
TRX-10033,2023-09-17,Syrah,11,7554.65,CLI-1320,Salta,Transferencia,Luis Rodriguez,741.36
TRX-10776,2023-01-29,Bonarda,19,2431.81,CLI-873,Catamarca,,Ana García,1144.29
TRX-11864,2023-11-18,Espumante,23,6661.33,CLI-567,Catamarca,Efectivo,Luis Rodriguez,680.65
TRX-11144,2023-03-26,Vino Malbec,24,4200.89,CLI-693,Catamarca,Tarjeta de Crédito,Juan Pérez,508.42
TRX-12128,2024-03-02,Espumante,24,,CLI-1203,Catamarca,App Mobile,Luis Rodriguez,283.13
TRX-10023,2023-08-08,Vino Blend,15,10425.37,CLI-641,Catamarca,App Mobile,Soporte Ventas,1487.75
TRX-11198,2023-02-10,Vino Malbec,6,11739.2,CLI-930,Neuquén,App Mobile,Juan Pérez,1104.69
TRX-11100,2023-10-11,Vino Malbec,9,6576.7,CLI-755,Neuquén,App Mobile,Juan Pérez,1026.65
TRX-10101,2023-10-13,Cabernet Sauvignon,3,10486.73,CLI-923,Catamarca,Tarjeta de Crédito,Marta Gómez,506.16
TRX-12037,2023-11-06,Espumante,16,2674.34,CLI-618,San Juan,,Soporte Ventas,624.62
TRX-11867,2024-02-15,Vino Rosado,12,1623.81,CLI-756,Neuquén,Tarjeta de Crédito,Luis Rodriguez,952.05
TRX-10616,2024-03-05,Syrah,9,6191.47,CLI-755,Mendoza,Efectivo,Juan Pérez,1293.75
TRX-10034,2023-05-16,Vino Malbec,12,2472.74,CLI-1269,San Juan,Tarjeta de Crédito,Ana García,305.6
